x,y,u
1.0487804878,-1.3452275349,0.0000089099
1.0487804878,-1.2762415075,0.0000178444
1.0487804878,-1.2072554801,0.0000268265
1.0487804878,-1.1382694526,0.0000358752
1.0487804878,-1.0692834252,0.0000450033
1.0487804878,-1.0002973978,0.0000542139
1.0487804878,-0.9313113703,0.0000634966
1.0487804878,-0.8623253429,0.0000728195
1.0487804878,-0.7933393155,0.0000821197
1.0487804878,-0.7243532880,0.0000912871
1.0487804878,-0.6553672606,0.0001001411
1.0487804878,-0.5863812332,0.0001084001
1.0487804878,-0.5173952057,0.0001156460
1.0487804878,-0.4484091783,0.0001212970
1.0487804878,-0.3794231509,0.0001246067
1.0487804878,-0.3104371234,0.0001246825
1.0487804878,-0.2414510960,0.0001203610
1.0487804878,-0.1724650686,0.0001058883
1.0487804878,-0.1034790411,0.0002019970
1.0487804878,-0.0344930137,0.0089533854
1.0487804878,0.0344930137,0.0089533854
1.0487804878,0.1034790411,0.0002019970
1.0487804878,0.1724650686,0.0001058883
1.0487804878,0.2414510960,0.0001203610
1.0487804878,0.3104371234,0.0001246825
1.0487804878,0.3794231509,0.0001246067
1.0487804878,0.4484091783,0.0001212970
1.0487804878,0.5173952057,0.0001156460
1.0487804878,0.5863812332,0.0001084001
1.0487804878,0.6553672606,0.0001001411
1.0487804878,0.7243532880,0.0000912871
1.0487804878,0.7933393155,0.0000821197
1.0487804878,0.8623253429,0.0000728195
1.0487804878,0.9313113703,0.0000634966
1.0487804878,1.0002973978,0.0000542139
1.0487804878,1.0692834252,0.0000450033
1.0487804878,1.1382694526,0.0000358752
1.0487804878,1.2072554801,0.0000268265
1.0487804878,1.2762415075,0.0000178444
1.0487804878,1.3452275349,0.0000089099
1.0975609756,-1.3452275349,0.0000178074
1.0975609756,-1.2762415075,0.0000356651
1.0975609756,-1.2072554801,0.0000536198
1.0975609756,-1.1382694526,0.0000717108
1.0975609756,-1.0692834252,0.0000899652
1.0975609756,-1.0002973978,0.0001083919
1.0975609756,-0.9313113703,0.0001269730
1.0975609756,-0.8623253429,0.0001456503
1.0975609756,-0.7933393155,0.0001643059
1.0975609756,-0.7243532880,0.0001827309
1.0975609756,-0.6553672606,0.0002005797
1.0975609756,-0.5863812332,0.0002173066
1.0975609756,-0.5173952057,0.0002320896
1.0975609756,-0.4484091783,0.0002437647
1.0975609756,-0.3794231509,0.0002508303
1.0975609756,-0.3104371234,0.0002515637
1.0975609756,-0.2414510960,0.0002457976
1.0975609756,-0.1724650686,0.0005558240
1.0975609756,-0.1034790411,0.0129733633
1.0975609756,-0.0344930137,0.0199029291
1.0975609756,0.0344930137,0.0199029291
1.0975609756,0.1034790411,0.0129733633
1.0975609756,0.1724650686,0.0005558240
1.0975609756,0.2414510960,0.0002457976
1.0975609756,0.3104371234,0.0002515637
1.0975609756,0.3794231509,0.0002508303
1.0975609756,0.4484091783,0.0002437647
1.0975609756,0.5173952057,0.0002320896
1.0975609756,0.5863812332,0.0002173066
1.0975609756,0.6553672606,0.0002005797
1.0975609756,0.7243532880,0.0001827309
1.0975609756,0.7933393155,0.0001643059
1.0975609756,0.8623253429,0.0001456503
1.0975609756,0.9313113703,0.0001269730
1.0975609756,1.0002973978,0.0001083919
1.0975609756,1.0692834252,0.0000899652
1.0975609756,1.1382694526,0.0000717108
1.0975609756,1.2072554801,0.0000536198
1.0975609756,1.2762415075,0.0000356651
1.0975609756,1.3452275349,0.0000178074
1.1463414634,-1.3452275349,0.0000266798
1.1463414634,-1.2762415075,0.0000534372
1.1463414634,-1.2072554801,0.0000803449
1.1463414634,-1.1382694526,0.0001074646
1.1463414634,-1.0692834252,0.0001348410
1.1463414634,-1.0002973978,0.0001624928
1.1463414634,-0.9313113703,0.0001904012
1.1463414634,-0.8623253429,0.0002184920
1.1463414634,-0.7933393155,0.0002466074
1.1463414634,-0.7243532880,0.0002744628
1.1463414634,-0.6553672606,0.0003015792
1.1463414634,-0.5863812332,0.0003271852
1.1463414634,-0.5173952057,0.0003500870
1.1463414634,-0.4484091783,0.0003685372
1.1463414634,-0.3794231509,0.0003802200
1.1463414634,-0.3104371234,0.0003816947
1.1463414634,-0.2414510960,0.0005286708
1.1463414634,-0.1724650686,0.0152890718
1.1463414634,-0.1034790411,0.0261091803
1.1463414634,-0.0344930137,0.0319377197
1.1463414634,0.0344930137,0.0319377197
1.1463414634,0.1034790411,0.0261091803
1.1463414634,0.1724650686,0.0152890718
1.1463414634,0.2414510960,0.0005286708
1.1463414634,0.3104371234,0.0003816947
1.1463414634,0.3794231509,0.0003802200
1.1463414634,0.4484091783,0.0003685372
1.1463414634,0.5173952057,0.0003500870
1.1463414634,0.5863812332,0.0003271852
1.1463414634,0.6553672606,0.0003015792
1.1463414634,0.7243532880,0.0002744628
1.1463414634,0.7933393155,0.0002466074
1.1463414634,0.8623253429,0.0002184920
1.1463414634,0.9313113703,0.0001904012
1.1463414634,1.0002973978,0.0001624928
1.1463414634,1.0692834252,0.0001348410
1.1463414634,1.1382694526,0.0001074646
1.1463414634,1.2072554801,0.0000803449
1.1463414634,1.2762415075,0.0000534372
1.1463414634,1.3452275349,0.0000266798
1.1951219512,-1.3452275349,0.0000355133
1.1951219512,-1.2762415075,0.0000711342
1.1951219512,-1.2072554801,0.0001069640
1.1951219512,-1.1382694526,0.0001430901
1.1951219512,-1.0692834252,0.0001795790
1.1951219512,-1.0002973978,0.0002164653
1.1951219512,-0.9313113703,0.0002537383
1.1951219512,-0.8623253429,0.0002913213
1.1951219512,-0.7933393155,0.0003290389
1.1951219512,-0.7243532880,0.0003665643
1.1951219512,-0.6553672606,0.0004033339
1.1951219512,-0.5863812332,0.0004384159
1.1951219512,-0.5173952057,0.0004703103
1.1951219512,-0.4484091783,0.0004966933
1.1951219512,-0.3794231509,0.0005147137
1.1951219512,-0.3104371234,0.0005492085
1.1951219512,-0.2414510960,0.0161653392
1.1951219512,-0.1724650686,0.0296129300
1.1951219512,-0.1034790411,0.0393612458
1.1951219512,-0.0344930137,0.0445072440
1.1951219512,0.0344930137,0.0445072440
1.1951219512,0.1034790411,0.0393612458
1.1951219512,0.1724650686,0.0296129300
1.1951219512,0.2414510960,0.0161653392
1.1951219512,0.3104371234,0.0005492085
1.1951219512,0.3794231509,0.0005147137
1.1951219512,0.4484091783,0.0004966933
